account_name,renewal_date,arr,open_tickets,avg_weekly_active_users,inbounds_last_30d,past_due_days,nps,last_login_days_ago,plan_tier
Acme Bio,2025-09-15,180000,7,23,42,0,8,5,Enterprise
Globex Pharma,2025-08-25,95000,3,11,28,0,6,18,Pro
Initech Labs,2025-10-05,42000,12,8,64,15,4,35,Business
Umbrella Health,2025-08-18,240000,18,5,77,0,5,49,Enterprise
Hooli Genomics,2025-12-31,60000,1,36,14,0,9,2,Pro
Soylent Research,2025-09-02,33000,6,12,51,7,3,27,Business
Vehement Therapeutics,2025-08-12,125000,9,9,33,0,7,22,Enterprise
Massive Dynamic,2025-11-20,155000,2,31,9,0,10,1,Enterprise
Stark Diagnostics,2025-08-29,78000,5,15,38,0,6,14,Pro
Wayne Biotech,2025-09-30,52000,0,44,6,0,8,0,Business
